mod; YYYY/MM/DD; HH:MM:SS; aligned
src; "Omnibus Systems - Omnibase "; "2010/03/28" ; "11:14:07"
chs; "ASCII"
ver; "For help and support contact the Omnibus Support Team"
ifv; "Version 5.0"
dve; "For help and support contact the Omnibus Support Team"
fft; ""
tbl; STOP_POINT
atr; BASE_VERSION; POINT_TYPE; POINT_NO; STOP_POINT_NO; STOP_POINT_DESC
frm; num[11.0]; num[11.0]; num[11.0]; num[11.0]; char[40]
rec;    20100328;           1;       22600;           0;                         "Auckland Drive"
rec;    20100328;           1;       22700;           0;                            "Hikers Rest"
rec;    20100328;           1;       22701;           1;                            "Hikers Rest"
rec;    20100328;           1;       22800;           0;                            "Forest Road"
rec;    20100328;           1;       22801;           1;                            "Forest Road"
rec;    20100328;           1;       22900;           0;                         "Middleton Rise"
rec;    20100328;           1;       22901;           1;                         "Middleton Rise"
rec;    20100328;           1;       23000;           0;                           "Twyford Road"
rec;    20100328;           1;       23001;           1;                           "Twyford Road"
rec;    20100328;           1;       23100;           0;                           "Ingham Drive"
rec;    20100328;           1;       23101;           1;                           "Ingham Drive"
rec;    20100328;           1;       23200;           0;                         "Standean Close"
rec;    20100328;           1;       23201;           1;                         "Standean Close"
rec;    20100328;           1;       23300;           0;                            "Haig Avenue"
rec;    20100328;           1;       23301;           1;                            "Haig Avenue"
rec;    20100328;           1;       23500;           0;                          "Saunders Hill"
rec;    20100328;           1;       23501;           1;                          "Saunders Hill"
rec;    20100328;           1;       23600;           0;                        "Old Boat Corner"
rec;    20100328;           1;       23601;           1;                        "Old Boat Corner"
rec;    20100328;           1;       23700;           0;                   "Crowhurst Road North"
rec;    20100328;           1;       23701;           1;                   "Crowhurst Road North"
rec;    20100328;           1;       23800;           0;                    "Asda Crowhurst Road"
rec;    20100328;           1;       23801;           1;                    "Asda Crowhurst Road"
rec;    20100328;           1;       23901;           1;                            "Argus House"
rec;    20100328;           1;       24000;           0;                            "Carden Hill"
rec;    20100328;           1;       24001;           1;                            "Carden Hill"
rec;    20100328;           1;       24100;           0;                      "County Oak Parade"
rec;    20100328;           1;       24101;           1;                      "County Oak Parade"
